================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:45:6
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
8.6899996, 2.3135889, -0.3113526, -9.7573099, -1.0395367, -0.1057856, 0.1229058, -32.9249992, 2.3999996, 37.5749969, -59.4885483, 7.7022901, -6.7022901, -51.3000031, -12.7500010, 40.5000000, 4.7628818, 42.3644600, -71.0704956, -18.6650009, 0.0220000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0070000, 0.0210000, 0.0590000, 1005.7290039, 0.0131490, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.7910004, 1.9639159, 0.6370752, -9.1058645, -1.0723116, -0.3020352, 0.1009227, -33.8249969, -1.0500002, 38.1750031, -61.3664131, 18.9465656, -5.4427481, -52.2000008, -16.2000008, 41.1000023, 4.7628818, 42.3644600, -71.0704956, -18.5980015, 0.0530000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0530000, -0.0080000, -0.0240000, 1005.7263184, -0.0091031, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.8920002, 1.5663428, 1.6621435, -9.1202345, -0.7674785, -0.5048132, 0.1191753, -30.2249985, -6.0000010, 39.6750031, -43.9007645, 30.5648861, -6.4885497, -48.6000023, -21.1500015, 42.6000023, 4.7642965, 42.3644600, -71.0704956, -18.5360012, 0.0380000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0180000, 0.0330000, 0.0390000, 1005.7265015, -0.0075859, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.9930000, 1.0681787, 2.2417383, -9.6902494, -0.6916699, -0.6537657, 0.0618859, -27.6749992, -9.1500006, 41.0250015, -39.5572510, 39.0992355, -3.2061069, -46.0500031, -24.3000011, 43.9500008, 4.7642965, 42.3644600, -71.0704956, -18.4850006, 0.0720000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0690000, 0.0200000, 0.0340000, 1005.7163086, -0.0920428, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.0939999, 0.5508545, 3.0273049, -9.7237797, -0.4288048, -0.8184395, -0.0029977, -24.6749992, -10.8000002, 43.8750000, -24.4961834, 48.5343513, 0.5114504, -43.0500031, -25.9500008, 46.8000031, 4.7620435, 42.3644600, -71.0704956, -18.4420013, 0.0270000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0040000, 0.0270000, -0.0530000, 1005.7160645, -0.0940657, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.1949997, -0.1628613, 3.7601807, -9.3980570, 0.1442228, -1.1862910, -0.1468875, -20.6249962, -12.7500010, 43.8750000, 8.3358774, 69.6106873, 8.7557249, -39.0000000, -27.9000015, 46.8000031, 4.7620435, 42.3644600, -71.0704956, -18.3910007, 0.0300000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0300000, 0.0060000, 0.0420000, 1005.7160645, -0.0940657, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.2959995, -1.7004639, 2.7159524, -8.9094725, 0.3892351, -1.0667826, -0.1503514, -14.7749977, -11.4000006, 45.6750031, 22.3740463, 62.7633591, 8.9541988, -33.1500015, -26.5500011, 48.6000023, 4.7654228, 42.3644600, -71.0704956, -18.3490009, 0.0690000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0690000, -0.0020000, 0.0460000, 1005.7164917, -0.0905256, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.3970003, -2.5147707, 2.6920021, -9.7429399, 0.6050698, -0.7447627, -0.2597343, -11.1749973, -9.9000006, 46.4250031, 34.7404594, 44.3129768, 15.2213745, -29.5500011, -25.0500011, 49.3500023, 4.7654228, 42.3644600, -71.0704956, -18.2890015, 0.1050000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0830000, 0.0650000, 0.0720000, 1005.7109985, -0.1360413, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.4980001, -3.4679883, 1.7387842, -8.9286327, 0.8891187, -0.8839893, -0.3664525, -5.1749973, -5.8499994, 49.4250031, 51.0152664, 52.2900772, 21.3358784, -23.5500011, -21.0000000, 52.3500023, 4.7617555, 42.3644638, -71.0704956, -18.2360001, 0.0430000, 5.9911375, 0.00, 10.00, -1.3534524, 0.8639077, -0.8569306, 0.0230000, 0.0360000, 0.0580000, 1005.7105713, -0.1395814, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.5990000, -4.1769142, 0.3975732, -8.4400492, 0.8071815, -0.6109985, -0.2675950, 0.8250027, -0.6000004, 48.6750031, 46.3206100, 36.6488533, 15.6717558, -17.5500011, -15.7500010, 51.6000023, 4.7617555, 42.3644638, -71.0704956, -18.2170010, 0.0480000, 5.9911375, 0.00, 10.00, -1.3534524, 0.8639077, -0.8569306, 0.0080000, 0.0470000, 0.0260000, 1005.7047119, -0.1881315, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
