================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:33:29
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
8.1499996, 3.4967284, -0.3065625, -9.9920216, -1.1643744, 0.1153783, 0.3899012, -38.4749985, -1.3499994, 35.7750015, -66.6412201, -4.9694657, -22.0000000, -56.8500023, -16.5000000, 38.7000008, 5.5193334, 42.3644371, -71.0704422, -13.6030006, 0.1710000, 5.0869446, 0.00, 11.00, -2.4319816, 2.4674497, -5.4138393, 0.0410000, 0.1660000, 0.1180000, 1005.4262695, -0.0025294, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.2510004, 3.4727783, 1.6573535, -10.3704357, -0.6679548, -0.2443461, 0.5608369, -39.0749969, -6.0000010, 34.7249985, -38.1984749, 15.6412210, -31.7938938, -57.4500008, -21.1500015, 37.6500015, 5.5193334, 42.3644371, -71.0704422, -13.6390009, 0.1040000, 5.0869446, 0.00, 11.00, -2.4319816, 2.4674497, -5.4138393, 0.1030000, 0.0160000, 0.0490000, 1005.4258423, -0.0060706, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.3520002, 3.2093260, 2.2896388, -9.9920216, -0.5127404, -0.3032343, 0.2919763, -37.7249985, -6.9000006, 35.3249969, -29.3053436, 19.0152664, -16.3893127, -56.1000023, -22.0500011, 38.2500000, 5.5258126, 42.3644371, -71.0704422, -13.7440004, 0.0710000, 5.0869446, 0.00, 11.00, -2.4319816, 2.4674497, -5.4138393, 0.0050000, 0.0710000, 0.1280000, 1005.4266357, 0.0005059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.4530001, 3.1278958, 2.9506643, -10.4758158, -0.5365888, -0.2871133, 0.5190023, -37.7249985, -10.3500013, 34.5749969, -30.6717548, 18.0916023, -29.3969460, -56.1000023, -25.5000019, 37.5000000, 5.5258126, 42.3644371, -71.0704422, -13.8350010, 0.0880000, 5.0869446, 0.00, 11.00, -2.3148346, 2.1258664, -5.0680108, 0.0170000, 0.0870000, 0.0980000, 1005.4262695, -0.0025294, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.5539999, 2.5674610, 3.5685790, -9.6183987, -0.8295643, -0.5948775, 0.1376945, -35.0249977, -12.3000002, 35.4749985, -47.4580154, 35.7251892, -7.5496182, -53.4000015, -27.4500008, 38.4000015, 5.5263801, 42.3644371, -71.0704422, -13.9320011, 0.2440000, 5.0869446, 0.00, 11.00, -2.3148346, 2.1258664, -5.0680108, -0.1300000, -0.2070000, 0.0440000, 1005.4263306, -0.0020235, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.6549997, 1.9064355, 3.9948926, -8.7274513, -0.6868737, -0.8485498, 0.1135796, -31.5749969, -15.9000006, 36.8249969, -39.2824440, 50.2595406, -6.1679387, -49.9500008, -31.0500011, 39.7500000, 5.5263801, 42.3644409, -71.0704422, -13.9080009, 0.1820000, 5.0869446, 0.00, 11.00, -1.2847750, 2.2049282, -5.3388453, -0.1820000, 0.0000000, -0.0320000, 1005.4271240, 0.0045529, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.7559996, 1.2741505, 5.0247512, -8.9861135, -0.4002933, -0.8051164, -0.1354296, -28.4249992, -17.8499985, 39.9749985, -22.8625946, 47.7709923, 8.0992365, -46.8000031, -33.0000000, 42.9000015, 5.5289125, 42.3644409, -71.0704422, -13.9060011, 0.0270000, 5.0869446, 0.00, 11.00, -1.2847750, 2.2049282, -5.3388453, -0.0060000, 0.0260000, 0.0300000, 1005.4274292, 0.0070823, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.8570004, 0.2682422, 4.6894484, -9.3405762, -0.3772443, -0.6451057, -0.2285582, -24.6749992, -18.2999992, 41.6250000, -21.5419846, 38.6030540, 13.4351149, -43.0500031, -33.4500008, 44.5500031, 5.5289125, 42.3644409, -71.0704422, -13.8680010, 0.0470000, 5.0869446, 0.00, 11.00, -1.2847750, 2.2049282, -5.3388453, 0.0460000, 0.0070000, -0.0100000, 1005.4254761, -0.0091059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.9580002, -0.4167334, 5.2403030, -9.1729250, 0.3099625, -0.8096462, -0.2993040, -20.0249977, -19.6500015, 42.2249985, 17.8320618, 48.0305328, 17.4885502, -38.4000015, -34.8000031, 45.1500015, 5.5311651, 42.3644409, -71.0704422, -13.8250008, 0.0530000, 5.0869446, 0.00, 11.00, -1.2847750, 2.2049282, -5.3388453, -0.0350000, 0.0390000, -0.0210000, 1005.4257202, -0.0070823, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.0590000, -1.5855029, 4.6271777, -9.3070459, 0.7377680, -0.7803354, -0.3310130, -14.1749992, -18.0000000, 45.8250046, 42.3435097, 46.3511467, 19.3053436, -32.5500031, -33.1500015, 48.7500038, 5.5311651, 42.3644409, -71.0704422, -13.8440008, 0.1470000, 5.0869446, 0.00, 11.00, -1.2847750, 2.2049282, -5.3388453, -0.0900000, 0.1160000, 0.0160000, 1005.4249268, -0.0136588, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
